"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID"
2.883124,0.234229,0.3256339,-0.0042575,0.01428376,-0.005754132,61.7,40,2.9,0.23938,0.33198,0.00072,0.01887,0.00013,0.1149,0.00653,0.05684,0.00025,-1.67212,0.00029,0.23909,0.08275,0.72108,0.7071,3.47921,"none",0.707,0.70714,0.70687,"Comment",-1,-1,""
2.884523,0.2346337,0.3260391,-0.005085777,0.0140725,-0.005758721,61.9,42,2.9,0.23979,0.33238,-0.00011,0.01866,0.00013,0.11499,0.00645,0.05613,-4e-05,-1.64009,-4e-05,0.23983,0.08297,0.72142,0.70688,3.48154,"none",0.70706,0.70722,0.70691,"Comment",-1,-1,""
2.753424,0.2235092,0.3108559,-0.00447995,0.01351424,-0.006081581,62.1,44,2.8,0.22866,0.3172,5e-04,0.0181,-0.00019,0.11495,0.00656,0.05706,0.00018,-1.65502,2e-04,0.22846,0.08279,0.72088,0.707,3.32333,"none",0.70708,0.70724,0.70693,"Comment",-1,-1,""
2.715192,0.2203453,0.3069109,-0.004829912,0.01328397,-0.005692841,62.3,46,2.7,0.2255,0.31326,0.00015,0.01787,0.00019,0.11511,0.00657,0.05705,5e-05,-1.59249,6e-05,0.22544,0.08284,0.71986,0.7071,3.2779,"none",0.70712,0.70725,0.70699,"Comment",-1,-1,""
2.568665,0.2081442,0.2894796,-0.004759995,0.01206953,-0.005612537,62.5,48,2.6,0.2133,0.29582,0.00022,0.01666,0.00027,0.11489,0.00647,0.0563,8e-05,-1.67547,9e-05,0.21321,0.08281,0.72103,0.70721,3.1005,"none",0.70715,0.70726,0.70704,"Comment",-1,-1,""
2.729996,0.2223853,0.30909,-0.00468724,0.01343484,-0.005931421,62.7,50,2.7,0.22754,0.31543,0.00029,0.01802,-4e-05,0.11528,0.00659,0.05713,0.00011,-1.52689,0.00012,0.22742,0.08312,0.72135,0.7074,3.29702,"none",0.70715,0.70726,0.70704,"Comment",-1,-1,""
2.7719,0.2254371,0.3140044,-0.004784282,0.01385355,-0.005835557,62.9,52,2.8,0.23059,0.32035,0.00019,0.01844,5e-05,0.11531,0.00664,0.05756,7e-05,-1.51554,8e-05,0.23051,0.08298,0.71981,0.70744,3.34734,"none",0.70713,0.70726,0.707,"Comment",-1,-1,""
2.740428,0.2226685,0.3097174,-0.004756395,0.0134471,-0.005948524,63.1,54,2.7,0.22782,0.31606,0.00022,0.01803,-6e-05,0.11508,0.00657,0.05705,8e-05,-1.60605,9e-05,0.22773,0.08292,0.72082,0.70722,3.3084,"none",0.7071,0.70726,0.70695,"Comment",-1,-1,""
2.796979,0.2274469,0.3166719,-0.004749129,0.01374318,-0.005880962,63.3,56,2.8,0.2326,0.32302,0.00023,0.01833,1e-05,0.11523,0.00654,0.05674,8e-05,-1.54578,9e-05,0.23251,0.08295,0.72009,0.70703,3.37697,"none",0.70703,0.70724,0.70683,"Comment",-1,-1,""
2.740134,0.2225852,0.3095002,-0.004913685,0.01324834,-0.005776667,63.5,58,2.7,0.22774,0.31584,6e-05,0.01783,0.00011,0.11501,0.00649,0.05646,2e-05,-1.63131,3e-05,0.22771,0.08292,0.72105,0.7071,3.30767,"none",0.70697,0.70719,0.70676,"Comment",-1,-1,""
2.669864,0.216603,0.3017325,-0.00464897,0.01296954,-0.005656311,63.7,60,2.7,0.22176,0.30808,0.00033,0.01756,0.00023,0.11513,0.00656,0.05698,0.00012,-1.58693,0.00013,0.22163,0.08282,0.71981,0.7071,3.22326,"none",0.70692,0.70712,0.70672,"Comment",-1,-1,""
2.737848,0.2227339,0.3097079,-0.004533984,0.0135359,-0.005789549,63.9,62,2.7,0.22789,0.31605,0.00044,0.01812,1e-04,0.11518,0.0066,0.05734,0.00016,-1.56645,0.00018,0.22771,0.08299,0.72104,0.70671,3.30587,"none",0.70689,0.70706,0.70672,"Comment",-1,-1,""
2.776308,0.2255749,0.313922,-0.004838412,0.01370346,-0.005862601,64.1,64,2.8,0.23073,0.32027,0.00014,0.01829,2e-05,0.1151,0.00657,0.05711,5e-05,-1.59576,6e-05,0.23067,0.0829,0.72043,0.70673,3.35168,"none",0.70688,0.70705,0.70672,"Comment",-1,-1,""
2.635648,0.2134229,0.2972783,-0.004767207,0.01254152,-0.005783898,64.3,66,2.6,0.21858,0.30362,0.00021,0.01713,1e-04,0.11493,0.00648,0.05641,8e-05,-1.66072,8e-05,0.21849,0.08271,0.7199,0.7064,3.18103,"none",0.70687,0.70703,0.7067,"Comment",-1,-1,""
2.614634,0.211949,0.2951927,-0.004744563,0.01268128,-0.005749366,64.5,68,2.6,0.2171,0.30154,0.00023,0.01727,0.00014,0.11506,0.00659,0.05726,9e-05,-1.61311,9e-05,0.21701,0.0828,0.71999,0.70662,3.15659,"none",0.70688,0.70705,0.70671,"Comment",-1,-1,""
2.621112,0.2125749,0.2962283,-0.004656875,0.01255772,-0.005887806,64.7,70,2.6,0.21773,0.30257,0.00032,0.01714,0,0.11517,0.00653,0.05666,0.00012,-1.57133,0.00013,0.2176,0.08282,0.71959,0.70683,3.16457,"none",0.70686,0.70702,0.70669,"Comment",-1,-1,""
2.68629,0.2183191,0.3033602,-0.004856102,0.01329757,-0.005763728,64.9,72,2.7,0.22347,0.3097,0.00012,0.01788,0.00012,0.11503,0.00664,0.05774,5e-05,-1.62393,5e-05,0.22342,0.08298,0.72157,0.70718,3.24344,"none",0.7069,0.70707,0.70673,"Comment",-1,-1,""
2.608723,0.211541,0.2943805,-0.004712238,0.01261987,-0.005784682,65.1,74,2.6,0.21669,0.30072,0.00027,0.01721,1e-04,0.11501,0.00658,0.05721,1e-04,-1.63223,0.00011,0.21659,0.08283,0.72057,0.70715,3.14938,"none",0.70695,0.70713,0.70677,"Comment",-1,-1,""
2.66644,0.2168939,0.3016417,-0.004637754,0.01336617,-0.005837252,65.3,76,2.7,0.22205,0.30799,0.00034,0.01795,5e-05,0.11524,0.00672,0.05829,0.00013,-1.54403,0.00014,0.22191,0.08303,0.72097,0.70687,3.22043,"none",0.70699,0.70712,0.70685,"Comment",-1,-1,""
2.597218,0.2103349,0.2929246,-0.004721081,0.01245721,-0.00601728,65.5,78,2.6,0.21549,0.29927,0.00026,0.01704,-0.00013,0.11495,0.00655,0.05695,1e-04,-1.65154,1e-04,0.21539,0.08273,0.72005,0.70719,3.13506,"none",0.70699,0.70712,0.70686,"Comment",-1,-1,""
2.621707,0.2127367,0.2961836,-0.004789746,0.01279315,-0.005762107,65.7,80,2.6,0.21789,0.30253,0.00019,0.01738,0.00012,0.11512,0.00661,0.05745,7e-05,-1.58762,8e-05,0.21782,0.08289,0.72023,0.70688,3.16557,"none",0.70696,0.70712,0.7068,"Comment",-1,-1,""
2.648993,0.2153053,0.2992654,-0.004865906,0.01279191,-0.005820559,65.9,82,2.7,0.22046,0.30561,0.00011,0.01738,7e-05,0.1151,0.00654,0.05686,4e-05,-1.59609,4e-05,0.22041,0.08301,0.72137,0.70717,3.19854,"none",0.70688,0.70707,0.7067,"Comment",-1,-1,""
2.687588,0.2183699,0.3040656,-0.004338541,0.0132398,-0.00586077,66.1,84,2.7,0.22352,0.31041,0.00064,0.01783,3e-05,0.11523,0.00662,0.05743,0.00024,-1.54588,0.00026,0.22327,0.08288,0.72009,0.70721,3.24523,"none",0.70681,0.70701,0.70661,"Comment",-1,-1,""
2.668574,0.2164395,0.3011652,-0.00516423,0.01268329,-0.005689752,66.3,86,2.7,0.22159,0.30751,-0.00019,0.01727,2e-04,0.11497,0.00646,0.05616,-7e-05,-1.64618,-7e-05,0.22167,0.08288,0.72061,0.70677,3.22116,"none",0.7068,0.707,0.7066,"Comment",-1,-1,""
2.696145,0.219073,0.3049058,-0.004632414,0.01328396,-0.005956288,66.5,88,2.7,0.22423,0.31125,0.00035,0.01787,-7e-05,0.11518,0.00661,0.05741,0.00013,-1.56627,0.00014,0.22409,0.08293,0.72041,0.70667,3.25549,"none",0.70677,0.70694,0.70659,"Comment",-1,-1,""
2.547131,0.2062278,0.2869854,-0.004612488,0.01216216,-0.005656143,66.7,90,2.6,0.21138,0.29333,0.00037,0.01675,0.00023,0.11488,0.00656,0.0571,0.00014,-1.67846,0.00015,0.21124,0.08273,0.72063,0.7065,3.07458,"none",0.70677,0.70695,0.70659,"Comment",-1,-1,""
2.675032,0.2170914,0.3027862,-0.004753911,0.01312485,-0.00586105,67.1,94,2.7,0.22225,0.30913,0.00022,0.01771,3e-05,0.1153,0.00661,0.05729,8e-05,-1.52229,9e-05,0.22216,0.08286,0.71894,0.70641,3.23017,"none",0.70675,0.70691,0.70658,"Comment",-1,-1,""
2.652318,0.2152302,0.2996292,-0.004602378,0.0127953,-0.005835379,67.7,100,2.7,0.22038,0.30597,0.00038,0.01738,5e-05,0.11509,0.00654,0.05681,0.00014,-1.59878,0.00015,0.22023,0.08284,0.72027,0.70641,3.20205,"none",0.7067,0.70682,0.70657,"Comment",-1,-1,""
2.687348,0.2181705,0.3039824,-0.004842273,0.01308764,-0.005866941,67.9,102,2.7,0.22332,0.31033,0.00014,0.01767,2e-05,0.11521,0.00656,0.05695,5e-05,-1.55367,5e-05,0.22327,0.08289,0.71964,0.7068,3.24476,"none",0.70672,0.70685,0.70658,"Comment",-1,-1,""
2.594283,0.2103947,0.2928826,-0.004378464,0.01256393,-0.00575915,68.1,104,2.6,0.21555,0.29923,6e-04,0.01715,0.00013,0.11507,0.00659,0.05731,0.00023,-1.60854,0.00024,0.21531,0.0828,0.72035,0.70684,3.13211,"none",0.70675,0.70689,0.7066,"Comment",-1,-1,""
2.495565,0.2022332,0.2810812,-0.004958294,0.01195867,-0.005791003,68.3,106,2.5,0.20739,0.28743,2e-05,0.01654,1e-04,0.11489,0.00661,0.05756,1e-05,-1.67544,1e-05,0.20738,0.0829,0.72153,0.70693,3.01306,"none",0.70681,0.70697,0.70666,"Comment",-1,-1,""
2.592192,0.2104496,0.2932287,-0.00469888,0.01242113,-0.005791831,68.5,108,2.6,0.2156,0.29957,0.00028,0.01701,1e-04,0.11529,0.00655,0.05677,0.00011,-1.5232,0.00011,0.21549,0.08293,0.7197,0.70694,3.13041,"none",0.70689,0.70703,0.70675,"Comment",-1,-1,""
2.593099,0.2104358,0.2929503,-0.00475881,0.01259939,-0.005747033,68.7,110,2.6,0.21559,0.29929,0.00022,0.01719,0.00014,0.11515,0.00661,0.05742,8e-05,-1.57887,9e-05,0.2155,0.08291,0.72033,0.70672,3.13122,"none",0.70696,0.70706,0.70686,"Comment",-1,-1,""
2.513254,0.2035271,0.2834798,-0.00475472,0.01192264,-0.005723251,68.9,112,2.5,0.20868,0.28982,0.00022,0.01651,0.00016,0.11504,0.00655,0.05696,9e-05,-1.62039,9e-05,0.20859,0.08279,0.72003,0.70696,3.03432,"none",0.70699,0.70708,0.7069,"Comment",-1,-1,""
2.498223,0.202338,0.2815626,-0.004752518,0.01174577,-0.005859378,69.1,114,2.5,0.20749,0.28791,0.00023,0.01633,3e-05,0.11496,0.00652,0.05672,9e-05,-1.64882,9e-05,0.2074,0.08282,0.72069,0.70699,3.016,"none",0.70701,0.70709,0.70692,"Comment",-1,-1,""
2.692588,0.2189193,0.304578,-0.004878923,0.01293839,-0.005921795,69.3,116,2.7,0.22407,0.31092,1e-04,0.01752,-3e-05,0.11521,0.00649,0.05636,4e-05,-1.5548,4e-05,0.22403,0.08301,0.72067,0.70714,3.25121,"none",0.70703,0.70711,0.70694,"Comment",-1,-1,""
