"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.6352759,0.04802652,0.06942061,-0.004931621,0.003982482,-0.005207365,88.3,0,0.6,0.05332,0.07435,0.00013,0.00435,-0.00012,0.11593,0.00679,0.05854,2e-04,-1.28231,5e-05,0.05326,0.08306,0.71711,0.70721,0.77325,"none",0.70762,0.70795,0.70728,"Comment",-1,-1,"Sample ID",""
0.8604684,0.06689862,0.09542532,-0.004980362,0.005245965,-0.005123529,88.5,2,0.9,0.07219,0.10035,8e-05,0.00562,-3e-05,0.11582,0.00648,0.05596,1e-04,-1.32688,3e-05,0.07215,0.08327,0.71934,0.7074,1.0446,"none",0.7076,0.70793,0.70727,"Comment",-1,-1,"Sample ID",""
1.055592,0.08302016,0.1174516,-0.004676586,0.006651768,-0.005118672,88.7,4,1.1,0.08831,0.12238,0.00039,0.00702,-3e-05,0.11528,0.00661,0.05738,0.00036,-1.52989,0.00015,0.08815,0.08304,0.72161,0.70765,1.27916,"none",0.70752,0.70785,0.70719,"Comment",-1,-1,"Sample ID",""
1.18476,0.0936853,0.132097,-0.004698056,0.007409551,-0.005005239,88.9,6,1.2,0.09897,0.13702,0.00036,0.00778,9e-05,0.11507,0.00653,0.05678,0.00031,-1.60754,0.00015,0.09883,0.083,0.72231,0.70791,1.4344,"none",0.70743,0.70777,0.7071,"Comment",-1,-1,"Sample ID",""
1.25698,0.09970336,0.1404154,-0.004897981,0.007653194,-0.004914292,89.1,8,1.3,0.10499,0.14534,0.00016,0.00802,0.00018,0.11508,0.00635,0.0552,0.00013,-1.60516,7e-05,0.10493,0.08308,0.72238,0.7078,1.52128,"none",0.70732,0.70765,0.70698,"Comment",-1,-1,"Sample ID",""
1.281107,0.1013656,0.1428752,-0.004908614,0.008248973,-0.005207232,89.3,10,1.3,0.10665,0.1478,0.00015,0.00862,-0.00012,0.11483,0.0067,0.05831,0.00012,-1.69832,6e-05,0.10659,0.08281,0.7216,0.70774,1.55013,"none",0.70724,0.70762,0.70686,"Comment",-1,-1,"Sample ID",""
1.322146,0.1047146,0.1476382,-0.005224437,0.008043922,-0.004936848,89.5,12,1.3,0.11,0.15256,-0.00016,0.00841,0.00016,0.11487,0.00634,0.05515,-0.00012,-1.68393,-6e-05,0.11007,0.08287,0.72103,0.70749,1.5992,"none",0.70713,0.70755,0.7067,"Comment",-1,-1,"Sample ID",""
1.370618,0.1089287,0.1532662,-0.00472844,0.008484209,-0.00508196,89.7,14,1.4,0.11422,0.15819,0.00033,0.00885,1e-05,0.11491,0.00643,0.05597,0.00024,-1.6674,0.00013,0.11408,0.08287,0.72201,0.70697,1.65776,"none",0.707,0.70743,0.70657,"Comment",-1,-1,"Sample ID",""
1.420609,0.112694,0.158942,-0.005339113,0.008730439,-0.005161477,89.9,16,1.4,0.11798,0.16387,-0.00028,0.0091,-7e-05,0.11486,0.00638,0.05554,-0.00019,-1.68568,-0.00011,0.11809,0.08278,0.71998,0.70673,1.71768,"none",0.70682,0.70723,0.70641,"Comment",-1,-1,"Sample ID",""
1.50944,0.1203901,0.1697279,-0.004681486,0.009476732,-0.004893512,90.1,18,1.5,0.12568,0.17465,0.00038,0.00985,2e-04,0.11525,0.0065,0.05638,0.00025,-1.54029,0.00015,0.12553,0.08283,0.71959,0.70625,1.82548,"none",0.70667,0.70703,0.70632,"Comment",-1,-1,"Sample ID",""
