"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
3.122872,0.2558049,0.3559452,-0.003371787,0.01905446,-0.005044585,112.7,6,3.1,0.26109,0.36089,0.00169,0.01944,6e-05,0.11534,0.00621,0.05385,0.00054,-1.50535,0.00067,0.26041,0.08323,0.72345,0.70843,3.76966,"none",0.70826,0.70851,0.70801,"Comment",-1,-1,"Sample ID",""
3.451638,0.2827731,0.3934584,-0.002920687,0.02110101,-0.005149681,112.9,8,3.5,0.28806,0.39841,0.00214,0.02148,-4e-05,0.11522,0.00621,0.05392,0.00062,-1.54982,0.00085,0.2872,0.08306,0.72302,0.70841,4.16477,"none",0.7082,0.70845,0.70796,"Comment",-1,-1,"Sample ID",""
3.454179,0.2823695,0.392364,-0.003257222,0.02130061,-0.005394404,113.1,10,3.5,0.28765,0.39731,0.0018,0.02168,-0.00029,0.11482,0.00627,0.05457,0.00052,-1.70154,0.00072,0.28693,0.08292,0.724,0.70831,4.16614,"none",0.70814,0.70839,0.7079,"Comment",-1,-1,"Sample ID",""
3.555426,0.2909741,0.4040413,-0.003051912,0.02172988,-0.005066538,113.3,12,3.6,0.29626,0.40899,0.00201,0.02211,4e-05,0.11484,0.00621,0.05406,0.00056,-1.69602,8e-04,0.29545,0.08296,0.72436,0.70819,4.28802,"none",0.70807,0.70831,0.70782,"Comment",-1,-1,"Sample ID",""
3.580397,0.2927419,0.406856,-0.003279792,0.0217198,-0.005204818,113.5,14,3.6,0.29803,0.4118,0.00178,0.0221,-1e-04,0.11482,0.00616,0.05367,5e-04,-1.70161,0.00071,0.29731,0.0829,0.72371,0.70827,4.31765,"none",0.708,0.70824,0.70775,"Comment",-1,-1,"Sample ID",""
3.695583,0.3032061,0.4206541,-0.002194091,0.02273111,-0.005194074,113.7,16,3.7,0.30849,0.4256,0.00287,0.02311,-9e-05,0.11498,0.00624,0.0543,0.00077,-1.64306,0.00115,0.30734,0.08303,0.72483,0.70792,4.45768,"none",0.70791,0.70815,0.70767,"Comment",-1,-1,"Sample ID",""
3.764129,0.3085072,0.4282151,-0.0028015,0.02298106,-0.005109444,113.9,18,3.8,0.31379,0.43316,0.00226,0.02336,0,0.11489,0.0062,0.05393,6e-04,-1.67523,9e-04,0.31289,0.08299,0.72442,0.70787,4.53958,"none",0.7078,0.70804,0.70756,"Comment",-1,-1,"Sample ID",""
3.752006,0.3067307,0.426779,-0.002372453,0.02316592,-0.004912038,114.1,20,3.8,0.31201,0.43173,0.00269,0.02355,2e-04,0.11488,0.00627,0.05454,0.00072,-1.67959,0.00108,0.31094,0.08274,0.72271,0.70772,4.52426,"none",0.7077,0.70793,0.70748,"Comment",-1,-1,"Sample ID",""
3.726632,0.3050987,0.4234487,-0.00271959,0.02270317,-0.00521161,114.3,22,3.7,0.31038,0.4284,0.00234,0.02308,-1e-04,0.11477,0.00618,0.05388,0.00063,-1.72177,0.00094,0.30944,0.0829,0.72452,0.70747,4.4936,"none",0.70764,0.70784,0.70745,"Comment",-1,-1,"Sample ID",""
3.424523,0.2792492,0.3880503,-0.003167838,0.02089698,-0.005139981,114.5,24,3.4,0.28453,0.393,0.00189,0.02128,-3e-05,0.11456,0.0062,0.05414,0.00055,-1.80205,0.00076,0.28377,0.08272,0.724,0.70735,4.12861,"none",0.70758,0.70772,0.70745,"Comment",-1,-1,"Sample ID",""
3.342663,0.2727939,0.3793423,-0.003054295,0.02025167,-0.005170812,114.7,26,3.3,0.27808,0.38429,0.00201,0.02063,-6e-05,0.11476,0.00616,0.05369,6e-04,-1.72612,8e-04,0.27727,0.0828,0.72361,0.70757,4.0309,"none",0.70758,0.70771,0.70745,"Comment",-1,-1,"Sample ID",""
3.356116,0.2743635,0.381289,-0.002885791,0.02026447,-0.005043438,114.9,28,3.4,0.27965,0.38624,0.00218,0.02065,7e-05,0.11488,0.00614,0.05345,0.00065,-1.68069,0.00087,0.27878,0.08292,0.72403,0.70729,4.04782,"none",0.70759,0.70774,0.70744,"Comment",-1,-1,"Sample ID",""
3.357715,0.2742364,0.3812764,-0.002940368,0.02080681,-0.005167434,115.1,30,3.4,0.27952,0.38623,0.00212,0.02119,-6e-05,0.11482,0.0063,0.05486,0.00063,-1.70281,0.00085,0.27867,0.08285,0.72372,0.70736,4.04984,"none",0.70762,0.7078,0.70745,"Comment",-1,-1,"Sample ID",""
3.108684,0.2530569,0.3519126,-0.002947388,0.01914266,-0.005041708,115.3,32,3.1,0.25834,0.35686,0.00211,0.01952,7e-05,0.11457,0.00627,0.05471,0.00068,-1.79666,0.00085,0.25749,0.08267,0.72392,0.70762,3.7486,"none",0.70768,0.70787,0.70749,"Comment",-1,-1,"Sample ID",""
2.957768,0.2403965,0.334533,-0.004020203,0.0178995,-0.005308013,115.5,34,3,0.24568,0.33948,0.00104,0.01828,-2e-04,0.11454,0.00617,0.05385,0.00035,-1.80804,0.00042,0.24526,0.08275,0.72369,0.70767,3.56683,"none",0.70772,0.70789,0.70754,"Comment",-1,-1,"Sample ID",""
2.959707,0.2412722,0.3354772,-0.003792805,0.01805367,-0.005253815,115.7,36,3,0.24656,0.34043,0.00127,0.01843,-0.00015,0.11479,0.00622,0.05415,0.00043,-1.71561,0.00051,0.24605,0.08296,0.72426,0.70785,3.57066,"none",0.70774,0.70791,0.70757,"Comment",-1,-1,"Sample ID",""
