"Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.345273,0.2729103,0.377756,-0.003306337,0.01693834,-0.0060338,71.7,96,3.4,0.27811,0.38428,0.00174,0.02197,1e-05,0.11466,0.00655,0.05716,0.00052,-1.76298,7e-04,0.27742,0.08277,0.72372,0.70716,4.03515,0.70706,0.70721,0.70692,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.40398,0.2778986,0.3850366,-0.00365636,0.01712908,-0.005980704,71.9,98,3.4,0.2831,0.39157,0.00139,0.02216,6e-05,0.11482,0.0065,0.05658,0.00041,-1.70188,0.00056,0.28255,0.08285,0.723,0.7073,4.10646,0.70703,0.70718,0.70688,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.386374,0.2760109,0.3825099,-0.003515493,0.01705843,-0.006064266,72.1,100,3.4,0.28121,0.38904,0.00153,0.02209,-2e-05,0.11467,0.00651,0.05677,0.00045,-1.75837,0.00061,0.2806,0.08271,0.72284,0.70721,4.08431,0.70699,0.70714,0.70684,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.354888,0.2739332,0.3790239,-0.002996504,0.01719601,-0.005896993,72.3,102,3.4,0.27914,0.38555,0.00205,0.02222,0.00014,0.11471,0.00661,0.05764,0.00061,-1.7443,0.00082,0.27831,0.0828,0.72399,0.70714,4.04719,0.70696,0.70712,0.7068,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.236566,0.2635593,0.3651832,-0.003803457,0.01604084,-0.005899894,72.6,105,3.2,0.26876,0.37171,0.00124,0.02107,0.00014,0.11463,0.0065,0.05668,0.00038,-1.77567,5e-04,0.26826,0.08273,0.72304,0.70692,3.90382,0.70695,0.70711,0.70679,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.240498,0.2640088,0.3654677,-0.003327916,0.01644728,-0.006030824,72.7,106,3.2,0.26921,0.372,0.00172,0.02147,1e-05,0.11458,0.00661,0.05773,0.00053,-1.79512,0.00069,0.26852,0.08271,0.72369,0.70678,3.9087,0.70692,0.70708,0.70676,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.127004,0.2543069,0.3523808,-0.00349761,0.01557253,-0.005959167,72.9,108,3.1,0.25951,0.35891,0.00155,0.0206,8e-05,0.11455,0.00657,0.0574,0.00049,-1.8052,0.00062,0.25889,0.08263,0.72305,0.70666,3.77161,0.70688,0.70704,0.70672,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.279723,0.2671831,0.3707426,-0.003244833,0.01647527,-0.005993687,73.1,110,3.3,0.27239,0.37727,0.0018,0.0215,5e-05,0.11481,0.00654,0.057,0.00055,-1.70495,0.00072,0.27166,0.08267,0.72199,0.70664,3.95637,0.70684,0.70699,0.70669,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.386327,0.2760175,0.3823131,-0.003401741,0.01711905,-0.006115862,73.3,112,3.4,0.28122,0.38884,0.00164,0.02215,-8e-05,0.11462,0.00653,0.05695,0.00048,-1.77979,0.00066,0.28056,0.0827,0.72323,0.70652,4.08409,0.7068,0.70694,0.70667,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.492687,0.2852351,0.3951152,-0.003027241,0.01792262,-0.005821858,73.5,114,3.5,0.29044,0.40164,0.00202,0.02295,0.00022,0.11479,0.00656,0.05714,0.00058,-1.71347,0.00081,0.28963,0.08278,0.72312,0.7064,4.21312,0.70674,0.70687,0.70662,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
"Test1","MW","IsoFish",2017-06-13,"Its a Smelt","none",3.429424,0.2793277,0.3875155,-0.003811413,0.0172229,-0.006099178,73.7,116,3.4,0.28453,0.39404,0.00123,0.02225,-6e-05,0.11469,0.00648,0.05647,0.00036,-1.75076,0.00049,0.28404,0.08267,0.72208,0.70676,4.13597,0.70669,0.70682,0.70656,10,0.5,9.8,"Moving average",20,50,150,1.85,40,5,50,"0.975",1804
