"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
3.315761,0.2709027,0.3760943,-0.004906438,0.01664288,-0.00589585,111.9,680,3.3,0.2776,0.38445,7e-05,0.02134,-1e-05,0.11524,0.0064,0.05551,2e-05,-1.54266,3e-05,0.27757,0.0832,0.72207,0.70972,4.01941,"none",0.70906,0.70934,0.70879,"Comment",-1,-1,"",""
3.578262,0.2932928,0.4068933,-0.004891397,0.01832624,-0.005799429,112.1,682,3.6,0.29999,0.41525,9e-05,0.02303,9e-05,0.11539,0.0064,0.05545,2e-05,-1.48521,4e-05,0.29996,0.08336,0.72244,0.7093,4.33678,"none",0.70901,0.70931,0.70872,"Comment",-1,-1,"",""
3.675834,0.3011417,0.4179598,-0.004832205,0.01920556,-0.005841792,112.3,684,3.7,0.30784,0.42632,0.00015,0.0239,5e-05,0.11534,0.00647,0.05607,4e-05,-1.5049,6e-05,0.30778,0.08327,0.72209,0.7089,4.45412,"none",0.70897,0.70926,0.70869,"Comment",-1,-1,"",""
3.46914,0.2830361,0.3935043,-0.004772244,0.01789693,-0.005774954,112.5,686,3.5,0.28974,0.40186,0.00021,0.0226,0.00011,0.11517,0.00648,0.05623,6e-05,-1.57145,8e-05,0.28965,0.08301,0.72098,0.70891,4.20353,"none",0.70892,0.7092,0.70865,"Comment",-1,-1,"",""
3.132401,0.2546195,0.3536881,-0.005120242,0.01508143,-0.006006619,112.7,688,3.2,0.26132,0.36205,-0.00014,0.01978,-0.00012,0.11484,0.00627,0.05464,-4e-05,-1.69573,-6e-05,0.26138,0.08291,0.72178,0.70845,3.79588,"none",0.70886,0.70912,0.7086,"Comment",-1,-1,"",""
3.101388,0.2532426,0.351635,-0.004768917,0.01556538,-0.005723968,112.9,690,3.1,0.25994,0.35999,0.00021,0.02026,0.00016,0.11532,0.00649,0.05629,7e-05,-1.51295,8e-05,0.25986,0.08324,0.72208,0.70828,3.76178,"none",0.70876,0.70894,0.70858,"Comment",-1,-1,"",""
2.807491,0.2277644,0.3165181,-0.004882101,0.01340423,-0.0058738,113.1,692,2.8,0.23447,0.32488,1e-04,0.0181,1e-05,0.11489,0.0064,0.05572,3e-05,-1.67668,4e-05,0.23443,0.0829,0.7217,0.70858,3.40517,"none",0.70868,0.70882,0.70854,"Comment",-1,-1,"",""
2.74779,0.2233727,0.3102218,-0.004731268,0.01305773,-0.006027125,113.3,694,2.8,0.23007,0.31858,0.00025,0.01776,-0.00014,0.11509,0.00641,0.05574,9e-05,-1.59973,1e-04,0.22997,0.08308,0.72218,0.70892,3.33438,"none",0.70862,0.70877,0.70846,"Comment",-1,-1,"",""
2.904406,0.236889,0.3292478,-0.004929362,0.01413502,-0.005917747,113.5,696,2.9,0.24359,0.33761,5e-05,0.01883,-3e-05,0.11543,0.00644,0.05579,2e-05,-1.4705,2e-05,0.24357,0.08328,0.72152,0.70882,3.52469,"none",0.70855,0.7087,0.70839,"Comment",-1,-1,"",""
3.280704,0.2685919,0.373016,-0.004664155,0.01674862,-0.005855876,113.7,698,3.3,0.27529,0.38138,0.00032,0.02145,3e-05,0.11553,0.0065,0.05624,1e-04,-1.43274,0.00013,0.27517,0.08336,0.72184,0.70874,3.97897,"none",0.70857,0.70872,0.70841,"Comment",-1,-1,"",""
3.285791,0.2680326,0.3718844,-0.004744089,0.01657338,-0.005865471,114.1,702,3.3,0.27473,0.38024,0.00024,0.02127,2e-05,0.11501,0.00643,0.05594,7e-05,-1.62913,9e-05,0.27464,0.08307,0.72252,0.70869,3.98222,"none",0.70861,0.70876,0.70847,"Comment",-1,-1,"",""
3.042403,0.2472195,0.3437994,-0.004864356,0.01494671,-0.005817486,114.3,704,3.1,0.25392,0.35216,0.00011,0.01965,7e-05,0.11498,0.00641,0.05579,4e-05,-1.6405,5e-05,0.25387,0.08289,0.72104,0.70852,3.68836,"none",0.70866,0.70883,0.70849,"Comment",-1,-1,"",""
2.968723,0.2418445,0.3362529,-0.004755449,0.01461018,-0.005689901,114.5,706,3,0.24855,0.34461,0.00022,0.01931,2e-04,0.11529,0.00646,0.05603,7e-05,-1.52343,9e-05,0.24846,0.08312,0.72123,0.70824,3.60138,"none",0.70868,0.70886,0.7085,"Comment",-1,-1,"",""
2.859399,0.2325766,0.3232083,-0.004863078,0.01382001,-0.006038331,114.7,708,2.9,0.23928,0.33157,0.00012,0.01852,-0.00015,0.11514,0.00643,0.05585,4e-05,-1.58119,5e-05,0.23923,0.08308,0.72165,0.70824,3.46899,"none",0.7087,0.70889,0.70851,"Comment",-1,-1,"",""
2.845543,0.2316171,0.3222669,-0.00480298,0.01373486,-0.005807926,114.9,710,2.9,0.23832,0.33063,0.00018,0.01843,8e-05,0.11537,0.00643,0.05575,6e-05,-1.49499,7e-05,0.23825,0.08313,0.72081,0.70865,3.45313,"none",0.70871,0.70891,0.70851,"Comment",-1,-1,"",""
2.904043,0.2365157,0.3285303,-0.00476117,0.01424633,-0.005833347,115.1,712,2.9,0.24322,0.33689,0.00022,0.01895,5e-05,0.1152,0.00648,0.05624,7e-05,-1.55771,9e-05,0.24313,0.08314,0.72195,0.70873,3.52328,"none",0.70875,0.70897,0.70854,"Comment",-1,-1,"",""
2.968327,0.2421276,0.3362652,-0.004895529,0.01439346,-0.00581175,115.3,714,3,0.24883,0.34463,8e-05,0.01909,8e-05,0.11531,0.00639,0.0554,3e-05,-1.51611,3e-05,0.2488,0.08325,0.72203,0.70905,3.60112,"none",0.7088,0.70901,0.70859,"Comment",-1,-1,"",""
2.883483,0.234658,0.3258576,-0.004865171,0.01397886,-0.005817319,115.5,716,2.9,0.24136,0.33422,0.00011,0.01868,7e-05,0.1151,0.00643,0.05589,4e-05,-1.5973,5e-05,0.24131,0.0831,0.72216,0.7091,3.49797,"none",0.7089,0.70908,0.70871,"Comment",-1,-1,"",""
2.9412,0.2400735,0.3329595,-0.004808955,0.01425285,-0.006041806,115.7,718,3,0.24677,0.34132,0.00017,0.01895,-0.00015,0.11525,0.0064,0.05553,6e-05,-1.53875,7e-05,0.24671,0.08331,0.723,0.70902,3.56845,"none",0.709,0.70913,0.70887,"Comment",-1,-1,"",""
2.910249,0.2367103,0.329182,-0.005201715,0.01407838,-0.005853623,115.9,720,2.9,0.24341,0.33754,-0.00022,0.01878,3e-05,0.11518,0.00641,0.05563,-8e-05,-1.56586,-9e-05,0.2435,0.08309,0.72113,0.70887,3.53034,"none",0.70909,0.70924,0.70895,"Comment",-1,-1,"",""
2.818944,0.2292289,0.3186343,-0.004886384,0.01350094,-0.006051883,116.1,722,2.8,0.23593,0.32699,9e-05,0.0182,-0.00016,0.11517,0.00641,0.05566,3e-05,-1.57,4e-05,0.23589,0.08308,0.72151,0.70913,3.42031,"none",0.70916,0.70929,0.70903,"Comment",-1,-1,"",""
2.693826,0.2187757,0.3040318,-0.005026699,0.01286542,-0.005877751,116.3,724,2.7,0.22548,0.31239,-5e-05,0.01756,1e-05,0.1151,0.00647,0.05623,-2e-05,-1.59683,-2e-05,0.2255,0.08308,0.72178,0.70895,3.26955,"none",0.70919,0.70932,0.70905,"Comment",-1,-1,"",""
2.883835,0.2354757,0.3267214,-0.004732111,0.01393626,-0.00575645,116.5,726,2.9,0.24218,0.33508,0.00025,0.01864,0.00013,0.11538,0.00642,0.05561,9e-05,-1.49021,1e-04,0.24208,0.08336,0.72274,0.70925,3.49991,"none",0.7092,0.70933,0.70906,"Comment",-1,-1,"",""
