"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.5850368,0.04383302,0.0626457,-0.005108791,0.002722178,-0.005079225,88.7,0,0.6,0.04912,0.06763,-5e-05,0.00322,6e-05,0.11443,0.00546,0.04768,-9e-05,-1.85085,-2e-05,0.04914,0.08314,0.72625,0.70991,0.71105,"none",0.7103,0.71086,0.70974,"the comment should update does it affect the plot",-1,-1,"234",""
0.5479606,0.04056729,0.05826902,-0.004820552,0.002548901,-0.005319603,88.9,2,0.6,0.04585,0.06326,0.00023,0.00305,-0.00018,0.11419,0.00551,0.04824,0.00042,-1.943,9e-05,0.04576,0.0826,0.72487,0.71015,0.66604,"none",0.71019,0.71075,0.70963,"the comment should update does it affect the plot",-1,-1,"234",""
0.5423144,0.04056522,0.05848238,-0.005059984,0.002340414,-0.005367917,90.1,14,0.5,0.04585,0.06347,-1e-05,0.00284,-0.00023,0.11575,0.00519,0.04479,-1e-05,-1.35047,0,0.04585,0.08362,0.7224,0.71048,0.66049,"none",0.71003,0.7106,0.70947,"the comment should update does it affect the plot",-1,-1,"234",""
1.6535,0.1340731,0.1887664,-0.004891636,0.00966717,-0.005158911,90.3,16,1.7,0.13936,0.19375,0.00016,0.01017,-2e-05,0.11675,0.00613,0.05249,1e-04,-0.97562,6e-05,0.13929,0.08394,0.71926,0.71036,2.00273,"none",0.70986,0.71042,0.7093,"the comment should update does it affect the plot",-1,-1,"234",""
4.395577,0.362885,0.5035812,-0.004713822,0.02677933,-0.005219451,90.7,20,4.4,0.36817,0.50857,0.00034,0.02728,-8e-05,0.11554,0.0062,0.05364,8e-05,-1.42973,0.00014,0.36804,0.08361,0.72394,0.71071,5.30547,"none",0.70969,0.71025,0.70912,"the comment should update does it affect the plot",-1,-1,"234",""
5.145477,0.4244055,0.5887911,-0.004545902,0.03172111,-0.005274193,90.9,22,5.2,0.42969,0.59378,0.00051,0.03222,-0.00014,0.11526,0.00626,0.05427,1e-04,-1.53482,2e-04,0.42949,0.08337,0.72366,0.71019,6.20698,"none",0.70952,0.71015,0.70889,"the comment should update does it affect the plot",-1,-1,"234",""
5.29514,0.4353257,0.6043266,-0.004521288,0.03231205,-0.005195606,91.1,24,5.3,0.44061,0.60931,0.00053,0.03281,-6e-05,0.11494,0.00619,0.05386,1e-04,-1.65718,0.00021,0.4404,0.08308,0.72313,0.70953,6.38368,"none",0.70935,0.70999,0.7087,"the comment should update does it affect the plot",-1,-1,"234",""
4.915648,0.4029925,0.5593219,-0.004706542,0.02982778,-0.005209304,91.3,26,4.9,0.40828,0.56431,0.00035,0.03033,-7e-05,0.11466,0.00616,0.05375,7e-05,-1.76396,0.00014,0.40814,0.08293,0.7235,0.70895,5.92444,"none",0.70915,0.70976,0.70853,"the comment should update does it affect the plot",-1,-1,"234",""
4.524053,0.3699214,0.5142767,-0.004669266,0.02731631,-0.005186443,91.5,28,4.5,0.37521,0.51926,0.00038,0.02782,-5e-05,0.11463,0.00614,0.05357,8e-05,-1.77616,0.00015,0.37505,0.08279,0.72257,0.70846,5.4522,"none",0.70898,0.70953,0.70842,"the comment should update does it affect the plot",-1,-1,"234",""
4.577952,0.3755926,0.5216664,-0.004495211,0.02790764,-0.005144378,91.7,30,4.6,0.38088,0.52665,0.00056,0.02841,-1e-05,0.11489,0.0062,0.05394,0.00012,-1.67591,0.00022,0.38065,0.08304,0.7232,0.70813,5.51968,"none",0.70881,0.70921,0.7084,"the comment should update does it affect the plot",-1,-1,"234",""
4.468061,0.3656635,0.5084115,-0.004921467,0.02699937,-0.005226825,91.9,32,4.5,0.37095,0.5134,0.00013,0.0275,-9e-05,0.11475,0.00615,0.05357,3e-05,-1.72925,5e-05,0.3709,0.0829,0.72254,0.70823,5.38587,"none",0.7087,0.70898,0.70842,"the comment should update does it affect the plot",-1,-1,"234",""
4.007781,0.3268293,0.4544529,-0.004742855,0.02428287,-0.005198145,92.1,34,4,0.33212,0.45944,0.00031,0.02479,-6e-05,0.11447,0.00618,0.05395,8e-05,-1.83727,0.00013,0.33199,0.08271,0.72287,0.70843,4.83001,"none",0.70866,0.70889,0.70842,"the comment should update does it affect the plot",-1,-1,"234",""
3.853263,0.3148387,0.4371202,-0.005048968,0.02303461,-0.005255607,92.3,36,3.9,0.32012,0.44211,1e-05,0.02354,-0.00012,0.11456,0.0061,0.05324,0,-1.80237,0,0.32012,0.08295,0.72409,0.70847,4.64504,"none",0.70868,0.70893,0.70843,"the comment should update does it affect the plot",-1,-1,"234",""
3.788049,0.3095598,0.4303756,-0.00473646,0.02273108,-0.005135439,92.5,38,3.8,0.31485,0.43536,0.00032,0.02323,0,0.11475,0.00612,0.05337,8e-05,-1.72971,0.00013,0.31472,0.08295,0.72318,0.70865,4.56737,"none",0.70875,0.709,0.70849,"the comment should update does it affect the plot",-1,-1,"234",""
3.814297,0.311965,0.4339241,-0.005285325,0.02274315,-0.005341144,92.7,40,3.8,0.31725,0.43891,-0.00023,0.02325,-2e-04,0.11489,0.00608,0.05296,-6e-05,-1.67646,-9e-05,0.31734,0.08307,0.72281,0.70901,4.59981,"none",0.70884,0.70907,0.70862,"the comment should update does it affect the plot",-1,-1,"234",""
3.878333,0.3174371,0.4413514,-0.004842315,0.02345684,-0.005099301,92.9,42,3.9,0.32272,0.44634,0.00021,0.02396,4e-05,0.11491,0.00617,0.05368,5e-05,-1.6696,8e-05,0.32264,0.08306,0.72304,0.70913,4.67728,"none",0.7089,0.70908,0.70872,"the comment should update does it affect the plot",-1,-1,"234",""
3.816143,0.3123683,0.4338941,-0.004510512,0.02323077,-0.005169341,93.1,44,3.8,0.31765,0.43888,0.00054,0.02373,-3e-05,0.11483,0.00621,0.05408,0.00014,-1.70046,0.00022,0.31744,0.08305,0.72378,0.70912,4.60221,"none",0.70896,0.70911,0.70882,"the comment should update does it affect the plot",-1,-1,"234",""
