"RunFile_ID","Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","Flag","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","LaserEnergy","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",0.9505327,0.07480115,0.1042916,-0.004152932,0.002856661,-0.005280783,42.3,2,1,0.07958,0.11037,2e-04,0.00659,5e-05,0.11537,0.00689,0.05975,0.00021,-1.49547,8e-05,0.0795,0.0831,0.72107,0.70737,1.15311,0.70723,0.70745,0.70702,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",1.169252,0.09299099,0.1303126,-0.004288578,0.004147751,-0.005226972,42.5,4,1.2,0.09777,0.13639,7e-05,0.00789,1e-04,0.11604,0.00671,0.05782,6e-05,-1.24328,3e-05,0.09775,0.08316,0.71687,0.70747,1.41739,0.70714,0.70735,0.70692,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",1.714474,0.1387276,0.1933845,-0.00375354,0.007789426,-0.005354931,42.9,8,1.7,0.14351,0.19946,6e-04,0.01153,-2e-05,0.11592,0.0067,0.05779,0.00035,-1.28574,0.00024,0.14327,0.08327,0.71949,0.70723,2.07485,0.70707,0.70729,0.70686,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.221333,0.1809359,0.2525805,-0.004187197,0.01141062,-0.005182479,43,9,2.2,0.18572,0.25866,0.00017,0.01515,0.00015,0.11612,0.0068,0.05857,7e-05,-1.21189,7e-05,0.18565,0.08335,0.71801,0.70731,2.68691,0.70702,0.70723,0.70681,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.403641,0.1950549,0.2720433,-0.004297072,0.01240133,-0.005436282,43.3,12,2.4,0.19984,0.27812,6e-05,0.01614,-1e-04,0.11541,0.0067,0.05803,2e-05,-1.47828,2e-05,0.19981,0.08292,0.71853,0.70705,2.90383,0.70701,0.70723,0.7068,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.676798,0.2188314,0.3044671,-0.003952375,0.01442948,-0.005110062,43.5,14,2.7,0.22361,0.31054,4e-04,0.01817,0.00022,0.11575,0.00677,0.0585,0.00015,-1.35224,0.00016,0.22345,0.08329,0.72007,0.70697,3.23508,0.70695,0.70715,0.70675,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.684389,0.2179599,0.3045431,-0.004428663,0.01422274,-0.005170107,43.7,16,2.7,0.22274,0.31062,-8e-05,0.01796,0.00016,0.11545,0.00668,0.05782,-3e-05,-1.46458,-3e-05,0.22277,0.0828,0.71709,0.70656,3.24186,0.7069,0.70707,0.70674,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.635086,0.2143188,0.297988,-0.004217321,0.0140304,-0.005453828,43.9,18,2.6,0.2191,0.30406,0.00014,0.01777,-0.00012,0.11512,0.00673,0.05844,5e-05,-1.58797,5e-05,0.21905,0.08293,0.72057,0.70663,3.18208,0.70686,0.70701,0.70671,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.548373,0.2068127,0.2882209,-0.004036908,0.01341776,-0.005038049,44.1,20,2.6,0.21159,0.2943,0.00032,0.01716,0.00029,0.11521,0.00672,0.05829,0.00012,-1.55607,0.00013,0.21147,0.08278,0.71898,0.70658,3.07741,0.70678,0.70691,0.70665,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.542114,0.2066351,0.2882018,-0.004486886,0.01349218,-0.005129835,44.3,22,2.5,0.21142,0.29428,-0.00013,0.01723,2e-04,0.11548,0.00676,0.05855,-5e-05,-1.45211,-5e-05,0.21147,0.08299,0.71843,0.70697,3.07121,0.7067,0.70686,0.70654,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.735811,0.2230785,0.3097067,-0.003962881,0.0147079,-0.005327253,44.5,24,2.7,0.22786,0.31578,0.00039,0.01845,0,0.11517,0.00673,0.05841,0.00014,-1.57102,0.00016,0.2277,0.08304,0.72157,0.70675,3.30386,0.70662,0.7068,0.70645,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.692926,0.2191032,0.3047509,-0.004190335,0.01465237,-0.005299332,44.7,26,2.7,0.22388,0.31083,0.00016,0.01839,3e-05,0.11516,0.00681,0.05916,6e-05,-1.57337,7e-05,0.22382,0.08293,0.72029,0.707,3.25208,0.70657,0.70678,0.70636,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.96962,0.2422591,0.3381839,-0.004303454,0.01615703,-0.005339184,44.9,28,3,0.24704,0.34426,5e-05,0.01989,-1e-05,0.11569,0.00669,0.05779,2e-05,-1.37459,2e-05,0.24702,0.08301,0.7176,0.7068,3.58691,0.70651,0.70674,0.70629,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",3.180018,0.2601267,0.3623894,-0.003891228,0.01781364,-0.004915319,45,29,3.2,0.26491,0.36846,0.00046,0.02155,0.00042,0.11565,0.00676,0.05849,0.00015,-1.39055,0.00018,0.26472,0.08309,0.71895,0.7065,3.84088,0.70647,0.70671,0.70624,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.937924,0.2386193,0.3323746,-0.004404674,0.01594447,-0.005407119,45.3,32,2.9,0.2434,0.33845,-5e-05,0.01968,-8e-05,0.11496,0.00669,0.05815,-2e-05,-1.64928,-2e-05,0.24342,0.08268,0.71916,0.7062,3.5456,0.7064,0.70662,0.70619,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.848854,0.2320068,0.3228177,-0.003929639,0.01536459,-0.005345689,45.5,34,2.9,0.23679,0.32889,0.00042,0.0191,-1e-05,0.1152,0.00669,0.05808,0.00015,-1.55883,0.00017,0.23662,0.08288,0.71995,0.70621,3.43959,0.70637,0.70658,0.70617,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.784288,0.2262155,0.3156569,-0.004476198,0.01513529,-0.005739596,45.7,36,2.8,0.231,0.32173,-0.00012,0.01887,-0.00041,0.1153,0.00676,0.05866,-4e-05,-1.5213,-5e-05,0.23105,0.0828,0.71798,0.70603,3.36206,0.70635,0.70651,0.70618,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","none",2.561043,0.2078739,0.289061,-0.003848189,0.01358748,-0.005013728,45.9,38,2.6,0.21265,0.29514,0.00051,0.01733,0.00032,0.11497,0.00675,0.0587,2e-04,-1.64736,2e-04,0.21245,0.08276,0.72053,0.7061,3.09208,0.70634,0.7065,0.70618,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","Adult",2.515498,0.2041717,0.2845424,-0.004179936,0.013263,-0.005174932,46.1,40,2.5,0.20895,0.29062,0.00017,0.017,0.00016,0.11525,0.00674,0.0585,7e-05,-1.53975,7e-05,0.20888,0.08284,0.719,0.70617,3.03812,0.70638,0.70657,0.70618,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","Adult",2.511467,0.203935,0.2842549,-0.00404015,0.0130576,-0.005326177,46.3,42,2.5,0.20872,0.29033,0.00031,0.0168,1e-05,0.11532,0.00667,0.05785,0.00012,-1.51319,0.00013,0.20859,0.08285,0.71889,0.70623,3.0333,0.70647,0.70671,0.70623,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","Adult",2.476251,0.2011162,0.2798729,-0.004197165,0.01292833,-0.005254637,46.5,44,2.5,0.2059,0.28595,0.00016,0.01667,8e-05,0.11519,0.00671,0.05828,6e-05,-1.56201,6e-05,0.20583,0.08292,0.72005,0.70647,2.99082,0.70652,0.70676,0.70628,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","Adult",2.47448,0.2007627,0.2797587,-0.004024629,0.012871,-0.005249762,46.7,46,2.5,0.20554,0.28583,0.00033,0.01661,8e-05,0.11523,0.0067,0.05811,0.00013,-1.54833,0.00013,0.20541,0.08281,0.7191,0.70673,2.98845,0.70659,0.7068,0.70638,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
"Yolo_bypass_2015_DS_01_B5","","","IsoFish",2017-07-07,"","No","Adult",2.682099,0.2186933,0.3047769,-0.004419796,0.01422307,-0.005579498,46.9,48,2.7,0.22347,0.31085,-7e-05,0.01796,-0.00025,0.11564,0.00668,0.05778,-2e-05,-1.39476,-3e-05,0.2235,0.08314,0.71891,0.70672,3.24053,0.70666,0.70685,0.70648,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",543
