"Blk88","Blk87","Blk86","Blk85","Blk84","Blk83","CycleSecs","name"
"-0.006087285","-0.005248626","-0.005957866","-0.004840184","-0.003353199","-0.005582232","15.5","PC_2016_01_A2_4R.run"
"-0.006022229","-0.005323033","-0.005816319","-0.005326686","-0.003313201","-0.005860351","15.7","PC_2016_01_A2_4R.run"
"-0.006190068","-0.00515738","-0.006031215","-0.005035324","-0.003262469","-0.005763081","15.9","PC_2016_01_A2_4R.run"
"-0.00600592","-0.005278906","-0.005895821","-0.004512522","-0.003265842","-0.005449524","16.1","PC_2016_01_A2_4R.run"
"-0.005974214","-0.005219572","-0.006194094","-0.005152582","-0.003480841","-0.005805596","16.3","PC_2016_01_A2_4R.run"
"-0.006104303","-0.005357665","-0.005928874","-0.005381015","-0.003525879","-0.005781844","16.5","PC_2016_01_A2_4R.run"
"-0.006161521","-0.005516706","-0.006123005","-0.005128596","-0.003414651","-0.005574575","16.7","PC_2016_01_A2_4R.run"
"-0.005966133","-0.00510544","-0.005864374","-0.005055601","-0.003703237","-0.005695726","16.9","PC_2016_01_A2_4R.run"
"-0.00602163","-0.005240777","-0.005959096","-0.004902842","-0.003274923","-0.005685054","17.1","PC_2016_01_A2_4R.run"
"-0.005828096","-0.005168231","-0.006058304","-0.005070957","-0.003261675","-0.005847069","17.3","PC_2016_01_A2_4R.run"
"-0.006427595","-0.005371151","-0.005946321","-0.00501756","-0.003558374","-0.005462883","17.5","PC_2016_01_A2_4R.run"
"-0.006004302","-0.005531221","-0.00592545","-0.005376794","-0.003373042","-0.005729564","17.7","PC_2016_01_A2_4R.run"
"-0.00614065","-0.00520778","-0.005831419","-0.004884844","-0.003381428","-0.005646514","17.9","PC_2016_01_A2_4R.run"
"-0.006049438","-0.005402593","-0.006210383","-0.005371015","-0.003682606","-0.00579879","18.1","PC_2016_01_A2_4R.run"
"-0.005890076","-0.00533763","-0.006073826","-0.004680722","-0.003203007","-0.005550175","18.3","PC_2016_01_A2_4R.run"
"-0.006058567","-0.005510405","-0.005917484","-0.005029958","-0.003452595","-0.00570895","18.5","PC_2016_01_A2_4R.run"
"-0.006082417","-0.005217896","-0.005997898","-0.005127509","-0.003292378","-0.005693578","18.7","PC_2016_01_A2_4R.run"
"-0.005885385","-0.004932988","-0.0058136","-0.004753695","-0.003348664","-0.005696405","18.9","PC_2016_01_A2_4R.run"
"-0.006038022","-0.005391852","-0.005844215","-0.005445295","-0.003399864","-0.005706599","19.1","PC_2016_01_A2_4R.run"
"-0.00610702","-0.005454618","-0.006120542","-0.004781303","-0.003505562","-0.005486578","19.3","PC_2016_01_A2_4R.run"
"-0.005951614","-0.005153072","-0.006077326","-0.005265037","-0.003404256","-0.006021346","19.5","PC_2016_01_A2_4R.run"
"-0.006228314","-0.005530313","-0.005900041","-0.004840589","-0.003206802","-0.005619753","19.7","PC_2016_01_A2_4R.run"
"-0.005864972","-0.005040346","-0.006043236","-0.005182624","-0.003442775","-0.005564203","19.9","PC_2016_01_A2_4R.run"
"-0.006150623","-0.005584156","-0.006169767","-0.005035562","-0.003530021","-0.005550462","20.1","PC_2016_01_A2_4R.run"
"-0.006015961","-0.005160099","-0.006011475","-0.005255038","-0.003340628","-0.005867849","20.3","PC_2016_01_A2_4R.run"
"-0.006016892","-0.005235664","-0.006124738","-0.004776349","-0.003289249","-0.005852789","20.5","PC_2016_01_A2_4R.run"
"-0.006033759","-0.005625179","-0.005828227","-0.00516113","-0.003513976","-0.005580312","20.7","PC_2016_01_A2_4R.run"
"-0.006036211","-0.005030024","-0.00606613","-0.005292172","-0.003438015","-0.0057239","20.9","PC_2016_01_A2_4R.run"
"-0.005981214","-0.005473488","-0.005890207","-0.005003481","-0.003114018","-0.005791511","21.1","PC_2016_01_A2_4R.run"
"-0.006022156","-0.005223714","-0.005807833","-0.005220493","-0.003446683","-0.005394585","21.3","PC_2016_01_A2_4R.run"
"-0.00615264","-0.005437136","-0.006099338","-0.0047972","-0.003281381","-0.005593704","21.5","PC_2016_01_A2_4R.run"
"-0.005814048","-0.004984253","-0.005960399","-0.005086529","-0.003381148","-0.005649109","21.7","PC_2016_01_A2_4R.run"
"-0.005830088","-0.005361019","-0.005798665","-0.00512431","-0.003315009","-0.005746847","21.9","PC_2016_01_A2_4R.run"
"-0.006160764","-0.00552365","-0.005998344","-0.005118947","-0.003319032","-0.005795596","22.1","PC_2016_01_A2_4R.run"
"-0.006246531","-0.005362749","-0.006200533","-0.005061638","-0.003705959","-0.005570866","22.3","PC_2016_01_A2_4R.run"
"-0.005949387","-0.005138618","-0.005940756","-0.005046731","-0.003385992","-0.005901988","22.5","PC_2016_01_A2_4R.run"
"-0.006386898","-0.005210752","-0.005998733","-0.005067626","-0.003275216","-0.005599605","22.8","PC_2016_01_A2_4R.run"
"-0.005783423","-0.005188794","-0.005847436","-0.004900618","-0.003562096","-0.005670357","22.9","PC_2016_01_A2_4R.run"
"-0.006124277","-0.005325422","-0.006117005","-0.005241551","-0.00336426","-0.005409083","23.1","PC_2016_01_A2_4R.run"
"-0.005901852","-0.005251174","-0.005979699","-0.004994316","-0.003366668","-0.005943771","23.3","PC_2016_01_A2_4R.run"
"-0.006019134","-0.005366451","-0.005939719","-0.005308625","-0.003497502","-0.005519612","23.5","PC_2016_01_A2_4R.run"
"-0.005866083","-0.005415884","-0.006142115","-0.004789545","-0.003351258","-0.005922208","23.7","PC_2016_01_A2_4R.run"
"-0.006178972","-0.00523043","-0.005909628","-0.00538263","-0.003365329","-0.0057064","23.9","PC_2016_01_A2_4R.run"
"-0.006011249","-0.00513955","-0.005838915","-0.004522004","-0.003215214","-0.005384656","24.1","PC_2016_01_A2_4R.run"
"-0.006070061","-0.005353302","-0.006150779","-0.005381276","-0.003532636","-0.005479348","24.3","PC_2016_01_A2_4R.run"
"-0.006093165","-0.005435388","-0.006029413","-0.004557529","-0.003599953","-0.005469749","24.5","PC_2016_01_A2_4R.run"
"-0.006179979","-0.005274039","-0.005653155","-0.005198566","-0.003461333","-0.005887366","24.7","PC_2016_01_A2_4R.run"
"-0.005938464","-0.004831414","-0.006211728","-0.004850758","-0.0033893","-0.005543508","24.9","PC_2016_01_A2_4R.run"
"-0.006120947","-0.005290593","-0.00579475","-0.005153921","-0.003724959","-0.005730526","25.1","PC_2016_01_A2_4R.run"
"-0.00601151","-0.005536182","-0.005877646","-0.004922594","-0.003346438","-0.005817361","25.3","PC_2016_01_A2_4R.run"
"-0.006054773","-0.005223284","-0.006032147","-0.005004829","-0.00345941","-0.005437704","25.5","PC_2016_01_A2_4R.run"
"-0.006036131","-0.005424874","-0.00591846","-0.005481433","-0.003304222","-0.006060803","25.7","PC_2016_01_A2_4R.run"
"-0.006000316","-0.005234322","-0.00586984","-0.004880588","-0.003278899","-0.005666263","25.9","PC_2016_01_A2_4R.run"
"-0.006227746","-0.005282557","-0.006062839","-0.005308102","-0.003526555","-0.005457737","26.1","PC_2016_01_A2_4R.run"
"-0.005919016","-0.005595876","-0.005974009","-0.00485293","-0.003137648","-0.005615383","26.3","PC_2016_01_A2_4R.run"
"-0.006013249","-0.004795012","-0.005712884","-0.004793133","-0.003425005","-0.005573538","26.5","PC_2016_01_A2_4R.run"
"-0.005931778","-0.005616765","-0.005959155","-0.005173821","-0.003472513","-0.005747899","26.7","PC_2016_01_A2_4R.run"
"-0.006159022","-0.005050105","-0.006064503","-0.005090249","-0.003271109","-0.006108429","26.9","PC_2016_01_A2_4R.run"
"-0.00584372","-0.005510064","-0.005912587","-0.004954107","-0.003306509","-0.005411023","27.1","PC_2016_01_A2_4R.run"
"-0.006258543","-0.005275718","-0.006197305","-0.005196038","-0.00346172","-0.005960982","27.3","PC_2016_01_A2_4R.run"
"-0.006094343","-0.005250628","-0.005724519","-0.005145248","-0.003331407","-0.005599421","27.5","PC_2016_01_A2_4R.run"
"-0.00594624","-0.005499862","-0.006064219","-0.005007303","-0.00335787","-0.005676875","27.7","PC_2016_01_A2_4R.run"
"-0.006044936","-0.005198224","-0.005932107","-0.005043624","-0.003411669","-0.005663222","27.9","PC_2016_01_A2_4R.run"
"-0.00589106","-0.005510949","-0.006308026","-0.004843104","-0.003334246","-0.005533805","28.1","PC_2016_01_A2_4R.run"
"-0.006028726","-0.005234725","-0.006083279","-0.005421735","-0.003348947","-0.005784523","28.3","PC_2016_01_A2_4R.run"
"-0.006196336","-0.004873177","-0.00573775","-0.004483614","-0.003378607","-0.005598538","28.5","PC_2016_01_A2_4R.run"
"-0.005771475","-0.005431593","-0.005959369","-0.005049712","-0.00305348","-0.005574495","28.7","PC_2016_01_A2_4R.run"
"-0.006317823","-0.005336186","-0.005766073","-0.005207626","-0.003471464","-0.00576185","28.9","PC_2016_01_A2_4R.run"
"-0.005816404","-0.005366956","-0.006063456","-0.004987427","-0.003537989","-0.005923203","29.1","PC_2016_01_A2_4R.run"
"-0.006282716","-0.005357674","-0.006115331","-0.005020267","-0.003325561","-0.005618417","29.3","PC_2016_01_A2_4R.run"
"-0.006095667","-0.005029668","-0.005795306","-0.005222069","-0.00328695","-0.005593804","29.5","PC_2016_01_A2_4R.run"
"-0.005931733","-0.005463638","-0.006196382","-0.005039334","-0.003211471","-0.005630274","29.7","PC_2016_01_A2_4R.run"
"-0.006105306","-0.005075129","-0.006007961","-0.005179465","-0.003463123","-0.005854716","29.9","PC_2016_01_A2_4R.run"
"-0.00611508","-0.005241182","-0.00611796","-0.005098712","-0.003449187","-0.005579134","100.1","PC_2016_01_A2_4R.run"
"-0.006024546","-0.005409738","-0.006049284","-0.005181713","-0.003267719","-0.005883405","100.3","PC_2016_01_A2_4R.run"
"-0.006185988","-0.00521747","-0.005910646","-0.005160653","-0.003411253","-0.005632969","100.5","PC_2016_01_A2_4R.run"
"-0.005978501","-0.005231803","-0.005881694","-0.004794984","-0.003332367","-0.00552793","100.7","PC_2016_01_A2_4R.run"
"-0.00586134","-0.005080907","-0.006223959","-0.005126797","-0.003307012","-0.005837221","100.9","PC_2016_01_A2_4R.run"
"-0.006208106","-0.00535696","-0.005794266","-0.005042669","-0.003371634","-0.005720253","101.1","PC_2016_01_A2_4R.run"
"-0.005711469","-0.005521265","-0.006102462","-0.004932222","-0.003340857","-0.005663383","101.3","PC_2016_01_A2_4R.run"
"-0.006252569","-0.005308597","-0.005981379","-0.00556822","-0.003422399","-0.005885976","101.5","PC_2016_01_A2_4R.run"
"-0.005845719","-0.00503185","-0.005955996","-0.005004591","-0.003274762","-0.005762831","101.7","PC_2016_01_A2_4R.run"
