"Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","region","MA","MAp2SE","MAm2SE","Comment","TrimLeft","TrimRight","Sample_ID","User_initials"
0.6559011,0.05002439,0.07140414,-0.00462208,0.003318501,-0.005053094,99.4,2,0.7,0.05531,0.07636,0.00043,0.00377,6e-05,0.11537,0.00569,0.04932,0.00064,-1.49515,0.00017,0.05514,0.08331,0.7243,0.70903,0.79719,"none",0.70899,0.7091,0.70888,"Comment",-1,-1,"Sample ID","KR"
0.9078699,0.0709326,0.1007789,-0.004845041,0.005400036,-0.005020502,99.6,4,0.9,0.07622,0.10574,2e-04,0.00585,9e-05,0.1157,0.0064,0.0553,0.00022,-1.36921,8e-05,0.07614,0.08331,0.72082,0.70927,1.10161,"none",0.70897,0.70908,0.70886,"Comment",-1,-1,"Sample ID","KR"
1.90561,0.1537624,0.2153331,-0.004735623,0.0111954,-0.005166252,100.2,10,1.9,0.15905,0.22029,0.00031,0.01164,-5e-05,0.11524,0.00609,0.05285,0.00016,-1.54418,0.00012,0.15892,0.08314,0.72199,0.70917,2.30249,"none",0.70895,0.70906,0.70883,"Comment",-1,-1,"Sample ID","KR"
2.165831,0.17542,0.244786,-0.005040982,0.01257066,-0.005166699,100.4,12,2.2,0.18071,0.24975,1e-05,0.01302,-5e-05,0.11499,0.00599,0.05213,0,-1.63727,0,0.1807,0.0832,0.72356,0.7088,2.61532,"none",0.70896,0.70907,0.70885,"Comment",-1,-1,"Sample ID","KR"
2.22199,0.1797697,0.2506647,-0.004553446,0.01315056,-0.005196339,100.6,14,2.2,0.18506,0.25563,0.00049,0.0136,-8e-05,0.11473,0.0061,0.0532,0.00022,-1.73579,2e-04,0.18486,0.08297,0.72394,0.70873,2.68209,"none",0.70897,0.70909,0.70886,"Comment",-1,-1,"Sample ID","KR"
2.066187,0.1664166,0.2327172,-0.004979371,0.01212158,-0.005295682,100.8,16,2.1,0.1717,0.23768,7e-05,0.01257,-0.00018,0.1147,0.00607,0.05288,3e-05,-1.74894,3e-05,0.17168,0.08285,0.72242,0.70895,2.49413,"none",0.70894,0.70906,0.70881,"Comment",-1,-1,"Sample ID","KR"
1.951042,0.1571073,0.2190642,-0.004341236,0.01156467,-0.004995164,101,18,2,0.16239,0.22402,0.00071,0.01201,0.00012,0.11447,0.00614,0.05362,0.00036,-1.83553,0.00028,0.16211,0.08283,0.72489,0.70885,2.35521,"none",0.70888,0.70899,0.70876,"Comment",-1,-1,"Sample ID","KR"
2.089327,0.1690111,0.2362424,-0.005226536,0.012287,-0.005121437,101.2,20,2.1,0.1743,0.2412,-0.00018,0.01273,-1e-05,0.11511,0.00608,0.0528,-9e-05,-1.59144,-7e-05,0.17437,0.08322,0.72262,0.70878,2.52365,"none",0.70883,0.70893,0.70873,"Comment",-1,-1,"Sample ID","KR"
2.173994,0.1760859,0.2456522,-0.00470575,0.01308452,-0.005385848,101.4,22,2.2,0.18137,0.25061,0.00034,0.01353,-0.00027,0.11496,0.00621,0.054,0.00016,-1.64986,0.00014,0.18124,0.08314,0.72372,0.70906,2.62539,"none",0.70882,0.70892,0.70872,"Comment",-1,-1,"Sample ID","KR"
2.179059,0.1759268,0.2456889,-0.004969899,0.01275931,-0.005075574,101.6,24,2.2,0.18121,0.25065,8e-05,0.01321,4e-05,0.11471,0.00604,0.05269,4e-05,-1.74451,3e-05,0.18118,0.08292,0.72298,0.70909,2.63011,"none",0.70883,0.70893,0.70872,"Comment",-1,-1,"Sample ID","KR"
2.378989,0.1929284,0.2692157,-0.005027623,0.01416003,-0.005396659,101.8,26,2.4,0.19821,0.27418,2e-05,0.01461,-0.00028,0.11496,0.00612,0.05328,1e-05,-1.65027,1e-05,0.19821,0.08311,0.72295,0.70869,2.872,"none",0.70886,0.70899,0.70872,"Comment",-1,-1,"Sample ID","KR"
2.46769,0.2000686,0.2790944,-0.004827718,0.01463942,-0.005254786,102,28,2.5,0.20536,0.28405,0.00022,0.01509,-0.00014,0.11483,0.0061,0.05311,9e-05,-1.69901,9e-05,0.20527,0.08298,0.72294,0.70863,2.97812,"none",0.7089,0.70905,0.70874,"Comment",-1,-1,"Sample ID","KR"
2.519255,0.2044027,0.2855356,-0.004524743,0.01531132,-0.005241468,102.2,30,2.5,0.20969,0.2905,0.00052,0.01576,-0.00013,0.11504,0.00624,0.05425,0.00021,-1.62101,0.00021,0.20948,0.08295,0.72183,0.70871,3.04101,"none",0.70896,0.70914,0.70878,"Comment",-1,-1,"Sample ID","KR"
2.542988,0.2065078,0.2879376,-0.005015258,0.01537679,-0.005204591,102.4,32,2.5,0.21179,0.2929,3e-05,0.01582,-9e-05,0.11491,0.00621,0.05403,1e-05,-1.66976,1e-05,0.21178,0.08308,0.7231,0.70869,3.06951,"none",0.70897,0.70915,0.70878,"Comment",-1,-1,"Sample ID","KR"
2.465688,0.1997848,0.2785033,-0.004981615,0.01458346,-0.005124656,102.6,34,2.5,0.20507,0.28346,7e-05,0.01503,-1e-05,0.11468,0.00608,0.05303,3e-05,-1.75444,3e-05,0.20504,0.08296,0.72345,0.7088,2.97524,"none",0.70897,0.70915,0.70878,"Comment",-1,-1,"Sample ID","KR"
2.62602,0.2135404,0.2979477,-0.005024685,0.01594845,-0.005184047,102.8,36,2.6,0.21883,0.30291,2e-05,0.0164,-7e-05,0.11509,0.00623,0.05413,1e-05,-1.60228,1e-05,0.21882,0.08314,0.72242,0.70927,3.17016,"none",0.70897,0.70916,0.70879,"Comment",-1,-1,"Sample ID","KR"
2.866848,0.233737,0.3258181,-0.004720942,0.01734148,-0.005042964,103,38,2.9,0.23902,0.33078,0.00033,0.01779,7e-05,0.11514,0.00619,0.05378,0.00011,-1.58192,0.00013,0.23889,0.08315,0.72261,0.70923,3.46033,"none",0.70899,0.70916,0.70882,"Comment",-1,-1,"Sample ID","KR"
