"RunFile_ID","Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","Flag","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","LaserEnergy","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",3.01518,0.2480178,0.3460676,-0.003775066,0.01652245,-0.005124747,42.3,4,3,0.25279,0.35213,6e-04,0.02027,0.00022,0.11655,0.00671,0.05757,2e-04,-1.05165,0.00024,0.25256,0.08359,0.7179,0.70797,3.64626,0.70698,0.70745,0.70652,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",3.876918,0.3190482,0.4444765,-0.004475492,0.02185169,-0.005581146,42.5,6,3.9,0.32383,0.45054,-1e-04,0.0256,-0.00024,0.11603,0.00659,0.05682,-3e-05,-1.24703,-4e-05,0.32387,0.08341,0.71875,0.70759,4.68304,0.70684,0.70731,0.70638,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.272226,0.3507854,0.4886726,-0.00387308,0.02486558,-0.005123226,42.7,8,4.3,0.35556,0.49474,5e-04,0.02862,0.00022,0.11564,0.00669,0.05784,0.00012,-1.39379,2e-04,0.35536,0.08306,0.71869,0.70728,5.15706,0.70675,0.70721,0.70628,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.400783,0.3607622,0.5022731,-0.004067621,0.02577723,-0.005403609,42.9,10,4.4,0.36554,0.50834,3e-04,0.02953,-6e-05,0.11535,0.0067,0.05809,7e-05,-1.50203,0.00012,0.36542,0.08292,0.71909,0.70671,5.31018,0.70668,0.70714,0.70621,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.708136,0.3863307,0.5388123,-0.004256649,0.02753839,-0.005396782,43.1,12,4.7,0.39111,0.54488,0.00011,0.03129,-5e-05,0.11558,0.00664,0.05742,2e-05,-1.41519,5e-05,0.39106,0.08295,0.71779,0.70629,5.68148,0.70662,0.70708,0.70615,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.512755,0.369331,0.5141732,-0.003891171,0.02643877,-0.00491609,43.3,14,4.5,0.37411,0.52024,0.00048,0.03019,0.00043,0.11513,0.00668,0.05803,0.00011,-1.58695,0.00019,0.37392,0.08275,0.71911,0.70606,5.44321,0.70643,0.70679,0.70607,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.499575,0.3687843,0.5134919,-0.004311692,0.02625572,-0.00529268,43.5,16,4.5,0.37356,0.51956,6e-05,0.03001,5e-05,0.11531,0.00666,0.05775,1e-05,-1.51685,2e-05,0.37354,0.0829,0.719,0.70601,5.42879,0.7063,0.70656,0.70605,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.529799,0.3711838,0.5175937,-0.004081788,0.02623085,-0.005501276,43.7,18,4.5,0.37596,0.52366,0.00029,0.02998,-0.00016,0.11545,0.00661,0.05725,6e-05,-1.46556,0.00012,0.37585,0.08286,0.71795,0.70608,5.4654,0.70621,0.70635,0.70608,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.483119,0.3672118,0.51138,-0.004368572,0.02614436,-0.005049334,43.9,20,4.5,0.37199,0.51744,0,0.02989,0.00029,0.11526,0.00666,0.05777,0,-1.53488,0,0.37199,0.08286,0.7189,0.7061,5.40856,0.7062,0.70632,0.70609,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
"Yolo_bypass_2015_DS_01_B4","","","IsoFish",2017-07-07,"","No","none",4.300056,0.3521973,0.490048,-0.003948495,0.02479632,-0.005400227,44.1,22,4.3,0.35697,0.49611,0.00042,0.02855,-6e-05,0.11521,0.00663,0.05754,1e-04,-1.55519,0.00017,0.35681,0.08286,0.71954,0.70607,5.18764,0.70623,0.70637,0.70609,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",494
