"RunFile_ID","Sample_ID","User_initials","Sample_Type","ShinyDate","Comment","Flag","region","Raw88","Raw87","Raw86","Raw85","Raw84","Raw83","CycleSecs","distance","Sr88","Net87","Sr86","Rb85","Net84","Kr83","Sr8688","Sr8488","Sr8486","Rb85Sr88","MbFactor","Rb87","Sr87","Sr87Sr88","Net87Sr86","Sr87Sr86","totalSr","MA","MAp2SE","MAm2SE","RunSpeed","Raw88LowerThresh","Raw88UpperThresh","Smoother","Smooth_parameter","TrimLeft","TrimRight","Fluency","SpotSize","LaserEnergy","IntegrationTime","OutlierNum","CIoutliers","Length (um)"
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",0.8970985,0.07045535,0.09875351,-0.004154066,0.002589185,-0.005095648,43.3,2,0.9,0.07524,0.10482,0.00023,0.00635,0.00025,0.11606,0.00703,0.06057,0.00026,-1.23423,9e-05,0.07515,0.08321,0.71779,0.70727,1.0895,0.70673,0.70706,0.70641,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",1.782,0.1441286,0.2010282,-0.003784187,0.008300511,-0.005399025,43.7,6,1.8,0.14892,0.2071,6e-04,0.01206,-6e-05,0.11582,0.00675,0.05824,0.00034,-1.3243,0.00024,0.14868,0.08315,0.71905,0.70716,2.15592,0.70662,0.70694,0.7063,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",2.214866,0.1804444,0.2512713,-0.003785588,0.01134263,-0.005152306,43.9,8,2.2,0.18523,0.25734,6e-04,0.0151,0.00019,0.11587,0.0068,0.05869,0.00027,-1.3061,0.00024,0.18499,0.08329,0.71978,0.70698,2.67838,0.70656,0.70688,0.70623,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",3.133007,0.2559156,0.35647,-0.0040945,0.01745225,-0.005297575,44.3,12,3.1,0.2607,0.36254,0.00029,0.02121,4e-05,0.11549,0.00676,0.05851,9e-05,-1.44839,0.00012,0.26059,0.08301,0.7191,0.70669,3.78343,0.7065,0.70682,0.70618,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",3.261108,0.2663852,0.3709102,-0.003623848,0.01824744,-0.005322241,44.5,14,3.3,0.27117,0.37698,0.00076,0.02201,2e-05,0.11538,0.00674,0.05838,0.00023,-1.48931,3e-04,0.27087,0.08291,0.71932,0.70634,3.93704,0.70649,0.70681,0.70617,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",3.269089,0.266687,0.3715697,-0.003400247,0.01830143,-0.005113545,44.7,16,3.3,0.27147,0.37764,0.00098,0.02206,0.00023,0.1153,0.00674,0.05842,3e-04,-1.51943,0.00039,0.27108,0.08277,0.71887,0.70596,3.94595,0.70642,0.70669,0.70615,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",2.845863,0.2310891,0.3214476,-0.003576067,0.01566619,-0.00521334,44.9,18,2.9,0.23588,0.32752,0.00081,0.01943,0.00013,0.11484,0.00681,0.05931,0.00028,-1.69483,0.00032,0.23555,0.08259,0.72019,0.70595,3.43444,0.70636,0.70658,0.70614,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",2.745863,0.2234335,0.3113106,-0.004028508,0.01472685,-0.005341354,45.1,20,2.8,0.22822,0.31738,0.00036,0.01849,0,0.11533,0.00672,0.05825,0.00013,-1.50968,0.00014,0.22808,0.08288,0.71907,0.70608,3.31589,0.70628,0.70645,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",2.631413,0.2140011,0.2974234,-0.003732903,0.01398246,-0.005285034,45.3,22,2.6,0.21879,0.30349,0.00065,0.01774,6e-05,0.11507,0.00673,0.05846,0.00025,-1.6082,0.00026,0.21853,0.08285,0.72089,0.70603,3.17726,0.70626,0.70642,0.70611,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
"Yolo_bypass_2015_DS_01_B3","","","IsoFish",2017-07-07,"","No","none",2.797644,0.2282712,0.3177575,-0.003693852,0.01526514,-0.00537347,45.5,24,2.8,0.23306,0.32383,0.00069,0.01903,-3e-05,0.1155,0.00679,0.05875,0.00025,-1.44578,0.00028,0.23278,0.08303,0.71969,0.70641,3.37936,0.70626,0.70641,0.7061,10,0.5,9.8,"Moving average",10,-1,-1,1.85,40,55,5,50,"0.975",948
